Month,Weekday,Turbidity,Air Temperature (°C)
1,Wednesday,20.3,-0.561111111111112
1,Wednesday,21.8,-0.7111111111111117
1,Wednesday,21.8,-0.43333333333333396
1,Wednesday,21.4,-0.8111111111111116
1,Wednesday,22,-0.5944444444444446
1,Wednesday,21.9,-0.7722222222222226
1,Wednesday,22.2,-1.0000000000000004
1,Wednesday,22.9,-0.9277777777777787
1,Wednesday,21,-0.6277777777777772
1,Wednesday,21.4,-0.033333333333332625
1,Wednesday,22.4,-0.41111111111111026
1,Wednesday,22.2,-0.7500000000000008
1,Wednesday,21.9,-1.0166666666666657
1,Wednesday,20.9,-1.122222222222222
1,Wednesday,23.4,-1.4722222222222214
1,Wednesday,19.6,-1.2722222222222217
1,Wednesday,21.1,-0.5777777777777773
1,Wednesday,21.6,-0.6555555555555554
1,Wednesday,21,-1.3611111111111107
1,Wednesday,20.4,-1.7111111111111101
1,Wednesday,21,-1.8222222222222229
1,Wednesday,21.8,-2.016666666666666
1,Wednesday,21.3,-2.0500000000000007
1,Wednesday,21.9,-2.1000000000000005
1,Wednesday,21.5,-1.8277777777777773
1,Wednesday,20.7,-1.6722222222222232
1,Wednesday,22.7,-1.8222222222222229
1,Wednesday,23.3,-1.3833333333333324
1,Wednesday,22.7,-1.4944444444444451
1,Wednesday,21.3,-1.6222222222222231
1,Wednesday,22.8,-1.7888888888888883
1,Wednesday,21.4,-1.8944444444444446
1,Wednesday,20.6,-1.6388888888888884
1,Wednesday,21,-1.0388888888888894
1,Wednesday,20.6,-0.5944444444444446
1,Wednesday,20.2,-1.0666666666666675
1,Wednesday,20.6,-1.1388888888888893
1,Wednesday,19.2,-1.7277777777777774
1,Wednesday,19.9,-2.2888888888888896
1,Wednesday,20.5,-1.6166666666666667
1,Wednesday,20.6,0.22777777777777589
1,Wednesday,19.7,3.2888888888888896
1,Wednesday,18.8,3.7555555555555546
1,Wednesday,18.1,3.2222222222222205
1,Wednesday,19.7,3.5500000000000003
1,Wednesday,20.1,3.1166666666666663
1,Wednesday,23,3.3444444444444463
1,Wednesday,22.7,3.811111111111111
1,Wednesday,23.7,4.694444444444446
1,Wednesday,26.6,5.138888888888889
1,Wednesday,28.2,5.633333333333334
1,Wednesday,27.4,6.15
1,Wednesday,25.7,6.605555555555556
1,Wednesday,25.6,6.7777777777777795
1,Wednesday,24.7,7.000000000000001
1,Wednesday,26.1,7.444444444444445
1,Wednesday,24.9,7.699999999999999
1,Wednesday,23.3,7.966666666666669
1,Wednesday,23.8,8.094444444444443
1,Wednesday,24.4,8.366666666666667
1,Wednesday,24.1,8.305555555555557
1,Wednesday,24.9,8.477777777777776
1,Wednesday,25.3,8.483333333333336
1,Wednesday,22.8,8.555555555555555
1,Wednesday,23.1,8.711111111111112
1,Wednesday,29.1,8.68888888888889
1,Wednesday,31.8,8.733333333333333
1,Wednesday,34.5,8.405555555555557
1,Wednesday,31.5,8.261111111111111
1,Wednesday,26.2,8.11111111111111
1,Wednesday,24,8.222222222222221
1,Wednesday,24,8.072222222222223
1,Wednesday,24.9,7.838888888888889
1,Wednesday,24.4,7.527777777777776
1,Wednesday,25.7,6.211111111111111
1,Wednesday,28,5.044444444444443
1,Wednesday,28.5,4.727777777777777
1,Wednesday,28,4.722222222222222
1,Wednesday,26.5,3.9499999999999997
1,Wednesday,28.3,3.06111111111111
1,Wednesday,28,2.872222222222223
1,Wednesday,29.9,2.866666666666665
1,Wednesday,27.9,2.3000000000000003
1,Wednesday,30,1.8666666666666663
1,Wednesday,26.1,2.0888888888888877
1,Wednesday,27.2,1.4333333333333325
1,Wednesday,25.6,1.8888888888888882
1,Wednesday,25.5,1.3666666666666671
1,Wednesday,24.4,2.027777777777777
1,Wednesday,23.8,1.5166666666666648
1,Wednesday,23,0.7277777777777791
1,Wednesday,22.1,-0.3222222222222213
1,Wednesday,21.9,-0.4222222222222231
1,Wednesday,21.5,-0.35555555555555585
1,Wednesday,22.4,-0.36666666666666675
1,Wednesday,20.1,-0.472222222222223
1,Thursday,23.4,-0.6444444444444445
1,Thursday,22.8,-0.777777777777777
1,Thursday,22.2,-0.7333333333333335
1,Thursday,24.1,-0.8777777777777769
1,Thursday,29.7,-0.3222222222222213
1,Thursday,26.5,0.22777777777777589
1,Thursday,33.6,-0.3111111111111104
1,Thursday,35.7,-0.7333333333333335
1,Thursday,30.8,-0.0611111111111108
1,Thursday,29.1,0.8500000000000006
1,Thursday,28.9,1.0666666666666675
1,Thursday,27.8,0.3111111111111124
1,Thursday,27.8,-0.29999999999999954
1,Thursday,26.3,-0.6277777777777772
1,Thursday,25.8,-0.7944444444444443
1,Thursday,27.7,-0.7500000000000008
1,Thursday,26.7,-0.8444444444444442
1,Thursday,26.3,-0.7333333333333335
1,Thursday,27,-0.26111111111111046
1,Thursday,28.5,0.0611111111111108
1,Thursday,25.9,0.6555555555555554
1,Thursday,28.6,1.4555555555555542
1,Thursday,28.8,0.8444444444444462
1,Thursday,26.3,0.6777777777777771
1,Thursday,26.8,0.9777777777777766
1,Thursday,30.9,1.9444444444444444
1,Thursday,31.3,2.0222222222222226
1,Thursday,30.3,2.461111111111111
1,Thursday,28.2,2.822222222222221
